layer,auc_train_sycophancy,auc_zs_consistency,auc_zs_metadata,auc_zs_visual_pattern,auc_zs_grader_hacking,auc_zs_unethical
10,0.9972706935123042,0.9052777374558474,0.8591817067466654,0.787525604425735,0.9704944275092336,0.995135159110337
14,0.9948098434004474,0.930732972048838,0.9385755874905244,0.8052874147191175,0.9418416638441316,0.9962359478072934
18,0.9974944071588366,0.9690065482814793,0.949575410074031,0.8881368848889535,0.9663533652683021,0.9985988129223722
22,0.996420581655481,0.9358256318446476,0.9172936726826987,0.8511576426186674,0.9463375590716279,0.9918650505637006
26,0.9939149888143177,0.9397691166271512,0.9334224447992774,0.7950456444250898,0.9482286576022966,0.9922440767084401
